id,proper,mag,absmag,ci,x,y,z
18677,,3.41,-2.447,-0.099,72.055648,125.663969,32.088342
18697,,4.48,-1.31,1.5,33.370231,58.324809,-127.23007
18725,,4.97,0.017,1.386,23.426639,41.113996,-85.644921
18860,,3.91,1.137,0.032,17.402678,31.124499,3.741217
18970,,5,-3.979,0.495,154.800189,280.572508,536.601104
18990,,4.36,0.566,1.064,25.633221,46.576223,21.568111
19119,,4.25,-1.309,-0.011,39.202478,72.642846,99.608154
19296,,3.96,-1.865,-0.025,45.931031,86.988502,108.154671
19465,,4.93,1.235,0.334,18.681766,36.211985,-36.680469
19538,Beid,4.04,1.181,0.327,16.838836,33.000244,-4.442368
19690,,4.84,-0.197,0.799,44.823011,89.841902,16.37646
19697,,3.85,1.114,1.085,11.637776,23.342255,-23.728596
19727,,4.87,0.515,1.156,32.507483,65.482178,-13.228201
19730,,3.33,-0.145,0.915,10.180685,20.514413,-43.944776
19761,,4.67,-2.654,1.007,98.172669,198.830839,189.280262
19762,,4.12,-3.086,0.935,81.176514,164.424627,206.603982
19799,Keid,4.43,5.942,0.82,2.179524,4.432894,-0.66374
19810,,4.27,-1.455,-0.054,60.741083,123.898045,21.589212
19843,,4.26,2.705,0.312,5.584439,11.453148,-16.011327
19871,,4.44,3.135,1.078,4.063966,8.377204,-15.682734
19940,,4.93,2.622,0.259,11.744304,24.419494,10.17349
19992,,3.55,-0.134,-0.108,19.536379,40.910335,-30.347713
20021,,4.6,-0.315,0.043,26.385569,55.470171,73.976007
20155,Prima Hyadum,3.65,0.176,0.981,20.197375,43.211662,13.342572
20200,,4.97,0.004,1.15,36.823987,79.288446,45.220144
20203,,4.93,0.802,0.95,23.204333,49.995533,37.97614
20304,,4.8,-1.159,-0.022,44.585331,97.329822,112.808858
20405,Secunda Hyadum,3.77,0.377,0.983,18.695965,41.472036,14.380508
20483,Beemim,3.97,-0.821,1.468,30.609599,68.780131,-50.811792
20490,,4.8,1.328,0.154,19.182021,43.132146,14.833155
20583,,4.21,0.841,0.136,17.521422,39.99522,17.9028
20597,,4.3,1.008,0.049,17.36483,39.694452,14.017394
20659,,4.28,0.913,0.263,17.275942,39.878289,18.280854
