id,hip,hd,hr,gl,bf,proper,ra,dec,dist,pmra,pmdec,rv,mag,absmag,ci,x,y,z,vx,vy,vz,rarad,decrad,pmrarad,pmdecrad,lum,var,var_min,var_max
73107,73334,132200,5576,,Kap Cen,,14.986025,-42.104194,117.5088,-17.76,-21.33,8,3.13,-2.22,-0.208,-61.87283,-61.421692,-78.787457,-0.00000565,0.00000864,-0.0000145,3.92333206659954,-0.734856809844133,-0.0000000861029097,-0.000000103410758,672.976656284318,,,
73246,73473,132742,5586,,19Del Lib,,15.016208,-8.518943,90.009,-66.2,-3.4,-39,4.91,0.139,0,-62.675871,-63.210037,-13.333557,0.00000742,0.00004851,0.00000444,3.93123407271676,-0.148683606232069,-0.0000003209466565,-0.000000016483665,76.6302072273919,Del,5.781,4.891
73327,73555,133208,5602,,42Bet Boo,Nekkar,15.032436,40.390566,69.0608,-40.2,-29.22,-20,3.49,-0.706,0.956,-36.876434,-37.508062,44.750903,-0.00000312,0.00001602,-0.00002071,3.93548254066788,0.704948356452626,-0.0000001948950996,-0.000000141662557,166.878351136539,,,
73340,73568,133124,5600,,41Ome Boo,,15.035141,25.008138,113.8952,-5.88,-48.6,14,4.8,-0.483,1.506,-72.311167,-73.654077,48.148906,-0.00001935,-0.00001508,-0.00001826,3.93619078456336,0.43647435232983,-0.0000000285070444,-0.000000235619448,135.89391171008,,,
73392,73620,133165,5601,,110    Vir,,15.048344,2.091303,59.9161,-55.93,12.94,-16,4.39,0.502,1.026,-41.79953,-42.871209,2.186454,-0.00000012,0.00002315,0.00000316,3.93964716538245,0.0365001179302875,-0.0000002711562915,0.00000006273489,54.8529513941203,,,
73467,73695,133640,5618,Gl 575A,44    Boo,,15.063174,47.65406,12.5078,-436.24,18.94,-29.7,4.83,4.344,0.647,-5.858189,-6.055134,9.244209,-0.00000419,0.00003371,-0.00002168,3.943529793177,0.831720249457471,-0.0000021149512001,0.000000091823711,1.59367588102877,I,4.943,4.793
73486,73714,133216,5603,,20Sig Lib,Brachium,15.067839,-25.281965,88.4173,-71.85,-44.69,-4,3.25,-1.483,1.674,-55.51919,-57.527085,-37.760649,-0.00001391,0.00002993,-0.00001557,3.94475098903699,-0.441253523803289,-0.0000003483386295,-0.000000216663233,341.350072949311,Sig,3.351,3.181
73517,73745,133582,5616,,43Psi Boo,,15.074098,26.947649,75.4148,-176.31,-4.52,-26,4.52,0.133,1.24,-46.60506,-48.449153,34.176087,-0.00003054,0.00006123,-0.00001352,3.94638972771875,0.470325196256193,-0.0000008547750002,-0.000000021913578,77.0548536629715,,,
73579,73807,133242,5605,,Pi  Lup,,15.085303,-47.051245,135.8696,-23.39,-21.11,5,3.91,-1.756,-0.144,-63.981638,-66.905071,-99.451605,-0.00000651,0.00001549,-0.00001322,3.9493231737682,-0.821199143511461,-0.0000001133979199,-0.000000102344167,438.934785534717,,,
73768,73996,134083,5634,Gl 578,45    Boo,,15.121682,24.869195,19.5542,184.81,-163.51,-9.8,4.93,3.474,0.429,-12.138752,-12.937889,8.223444,0.00001454,-0.00001011,-0.00001828,3.95884706086143,0.434049342710071,0.000000895984163,-0.000000792718849,3.55140334982882,,,
73889,74117,133955,5626,,Lam Lup,,15.147394,-45.279857,238.0952,-17.32,-26.11,10,4.07,-2.814,-0.162,-113.806447,-122.946676,-169.179119,-0.00000501,0.00002401,-0.00002847,3.96557854726487,-0.790282597617446,-0.0000000839697295,-0.000000126584851,1163.05432332847,,,
74148,74376,134481,5646,,Kap1Lup,,15.198918,-48.737819,55.1876,-96.52,-47.97,-6,3.88,0.171,-0.029,-24.36173,-27.040918,-41.484457,-0.00001002,0.00002746,-0.00000385,3.97906741750606,-0.850635404944818,-0.0000004679421645,-0.000000232565122,74.404636619192,,,
74164,74392,134759,5652,,24Iot1Lib,,15.203692,-19.79171,116.4144,-35.59,-32.55,-12,4.54,-0.79,-0.071,-73.216302,-81.473155,-39.418088,-0.00000306,0.00002664,-0.00001313,3.9803172672296,-0.345430512809964,-0.0000001725451889,-0.000000157806853,180.301774085957,,,
74167,74395,134505,5649,GJ 9512A,Zet Lup,,15.20476,-52.099247,35.9712,-113.94,-71,-10,3.41,0.63,0.918,-14.765283,-16.43956,-28.383941,-0.00000406,0.00002522,0.00000046,3.98059690352881,-0.909303399904989,-0.0000005523967076,-0.000000344217713,48.7528490103386,,,
74221,74449,134687,5651,,,,15.213776,-44.500414,154.5595,-20.49,-22.2,14,4.83,-1.115,-0.177,-73.468343,-82.188968,-108.333069,-0.00001048,0.00001131,-0.0000219,3.98295717778967,-0.776678734750574,-0.0000000993383231,-0.000000107628637,243.220400907382,,,
74376,74604,135153,5660,,1    Lup,,15.2437,-31.519121,598.8024,-9.72,1.83,-23,4.91,-3.976,0.374,-337.201135,-383.227256,-313.043658,-0.00000977,0.00003161,0.00001683,3.99079133666596,-0.550112441369213,-0.0000000471238898,0.00000000887209,3391.56386905822,,,
74438,74666,135722,5681,,49Del Boo,,15.258376,33.314833,37.3413,84.84,-110.57,-12,3.46,0.599,0.961,-20.5232,-23.506036,20.509246,0.00001108,-0.00001066,-0.00002347,3.99463346601436,0.581453532488248,0.0000004113159266,-0.000000536058486,50.1649056773223,,,
74556,74785,135742,5685,,27Bet Lib,Zubeneschamali,15.283449,-9.382917,56.7537,-96.39,-20.76,-35,2.61,-1.16,-0.071,-36.549398,-42.420251,-9.252607,0.00000357,0.00004477,0.0000002,4.00119752702082,-0.16376280166405,-0.0000004673119067,-0.00000010064732,253.512863049791,,,
74595,74824,135379,5670,Gl 580.1,Bet Cir,,15.291917,-58.801208,30.553,-98.39,-135.46,9.6,4.07,1.645,0.088,-10.304156,-12.012956,-26.134351,-0.0000032,0.00001865,-0.00001879,4.00341462117842,-1.02627468337535,-0.0000004770081803,-0.000000656728611,19.1425592502109,,,
74608,74837,135291,5666,,Eps Cir,,15.294136,-63.610465,125,2.12,8.66,-5,4.85,-0.635,1.26,-36.147448,-42.191897,-111.974081,-0.0000006,-0.00000268,0.00000691,4.00399539593294,-1.11021206163244,0.00000001027805,0.000000041984864,156.314764264095,,,
74628,74857,135758,5686,,2    Lup,,15.297178,-30.148673,99.9001,-8.71,-4.47,-4,4.35,-0.648,1.1,-56.151802,-65.647023,-50.174358,-0.0000002,0.00000626,0.00000018,4.00479175651137,-0.526193611622746,-0.0000000422272716,-0.000000021671171,158.197639860115,,,
74682,74911,135734,5683,,Mu  Lup,,15.308897,-47.875272,102.8807,-31.74,-32.82,15,4.27,-0.792,-0.086,-44.694142,-52.577545,-76.305318,-0.00001086,0.00001166,-0.00002236,4.00785992155121,-0.835581121263679,-0.0000001538798622,-0.000000159115849,180.634208316998,,,
74717,74946,135382,5671,,Gam TrA,,15.315181,-68.679545,56.3698,-66.48,-32,-3,2.87,-0.885,0.014,-13.248562,-15.637336,-52.51191,-0.00000787,0.00001881,-0.00000032,4.00950488883882,-1.1986841874783,-0.0000003223041348,-0.000000155140377,196.788628970685,,,
74868,75097,137422,5735,,13Gam UMi,Pherkad,15.345483,71.834016,149.2537,-18.03,17.68,-4,3,-2.87,0.058,-29.797327,-35.741213,141.814461,-0.00000142,0.00001867,0.0000001,4.01743804114582,1.25374009300676,-0.0000000874119066,0.000000085715058,1224.61619926505,Gam,3.016,2.996
74912,75141,136298,5695,,Del Lup,,15.356201,-40.647518,271.0027,-19.11,-24.05,-2.4,3.22,-3.945,-0.227,-131.223518,-158.301112,-176.532145,-0.000005,0.0000333,-0.00002237,4.02024413433092,-0.709433019229788,-0.0000000926478944,-0.00000011659769,3296.09712177458,Del,3.239,3.209
74948,75177,136422,5705,,Phi1Lup,,15.36344,-36.261376,84.317,-91.85,-86.03,-29,3.57,-1.06,1.534,-43.289327,-52.423754,-49.870803,-0.00000048,0.00005838,-0.00001081,4.02213909961305,-0.632880408495579,-0.0000004453013656,-0.000000417085209,231.20647901756,,,
74977,75206,136351,5698,GJ 3901,Nu 1Lup,,15.368975,-47.927792,35.8551,-141.44,-132.58,-11.2,4.99,2.217,0.515,-15.270778,-18.547654,-26.615201,-0.00000323,0.00003476,-0.00000694,4.02358835394589,-0.836497770202299,-0.0000006857204698,-0.000000642765977,11.303163247387,,,
75035,75264,136504,5708,,Eps Lup,,15.378021,-44.689622,156.9859,-20.25,-20.13,8,3.37,-2.609,-0.191,-70.733584,-86.328198,-110.402888,-0.00000878,0.0000136,-0.00001664,4.02595648597076,-0.779981044938689,-0.0000000981747703,-0.000000097592993,962.941712971556,,,
75075,75304,136664,5712,,Phi2Lup,,15.385931,-36.858489,159.2357,-18.05,-21.53,2,4.54,-1.47,-0.155,-80.54436,-98.718294,-95.516062,-0.00000553,0.00001526,-0.00001452,4.02802739429739,-0.643301982328369,-0.0000000875088693,-0.000000104380385,337.287308658869,,,
75083,75312,137107,5727,Gl 584A,2Eta CrB,,15.38675,30.287812,17.8635,125.77,-176.48,-7.3,4.99,3.73,0.577,-9.748862,-11.953838,9.009316,0.00000764,-0.00000786,-0.00001696,4.02824169831395,0.528622044507149,0.000000609750166,-0.000000855599183,2.80543363795171,,,
75094,75323,136415,5704,,Gam Cir,,15.389625,-59.320787,137.5516,-10.29,-36.57,-17,4.48,-1.212,0.169,-44.315595,-54.422257,-118.299395,0.00001352,0.00002747,0.00000251,4.02899452448588,-1.03534305134317,-0.0000000498873277,-0.000000177296362,265.950003272152,Gam,4.503,4.443
75150,75379,137052,5723,,31Eps Lib,,15.403303,-10.322266,31.2305,-68.52,-152.65,-10,4.92,2.447,0.453,-19.315192,-23.894489,-5.596007,0.00000086,0.00001757,-0.0000209,4.03257524229958,-0.180157523595726,-0.0000003321943339,-0.000000740068083,9.1453430312046,,,
75182,75411,137391,5733,GJ 3903A,51Mu 1Boo,Alkalurops,15.408181,37.377167,34.6861,-147.68,84.69,-8.6,4.31,1.609,0.309,-17.300377,-21.457918,21.056469,-0.00000952,0.00002776,0.00000598,4.03385223523762,0.652354623651178,-0.0000007159728434,0.000000410588706,19.7879133523374,,,
75229,75458,137759,5744,,12Iot Dra,Edasich,15.415494,58.966065,31.027,-8.27,17.3,-11,3.29,0.831,1.166,-10.015969,-12.471787,26.585776,0.00000406,0.00000704,-0.0000083,4.0357669491767,1.0291519898867,-0.0000000400940914,0.000000083872766,40.5135220229264,,,
75272,75501,137058,5724,,,,15.422285,-38.73362,120.3369,-46.05,-13.35,-3,4.6,-0.802,0,-58.64798,-73.294368,-75.294841,-0.00001644,0.00002246,-0.00000416,4.03754473450388,-0.676029208322978,-0.0000002232566999,-0.000000064722626,182.305596068107,,,
75466,75695,137909,5747,,3Bet CrB,Nusakan,15.463818,29.105703,34.2818,-181.39,86.84,-19,3.66,0.985,0.319,-18.45833,-23.589253,16.675351,-0.00000895,0.00003748,0.00000316,4.04841817421907,0.50799034185675,-0.0000008794035352,0.0000004210122,35.1560440528298,Bet,3.683,3.653
75777,76008,139669,5826,,15The UMi,,15.523619,77.349352,262.4672,-46.89,5.31,-25,5,-2.095,1.545,-34.710382,-45.818632,256.095209,-0.00004019,0.00004574,-0.00002347,4.06407383087007,1.35000086225655,-0.0000002273291348,0.000000025743606,599.791076255509,,,
75811,76041,138629,5774,,53Nu 2Boo,,15.529718,40.899332,119.0476,-13.73,-14.92,-17,4.98,-0.399,0.086,-54.221334,-71.812586,77.944174,-0.0000018,0.00001076,-0.00001789,4.06567062455697,0.713828013075741,-0.0000000665649183,-0.000000072334201,125.776643245125,,,
75895,76127,138749,5778,,4The CrB,,15.548829,31.359133,115.0748,-19.62,-8.94,-25,4.14,-1.165,-0.127,-58.818354,-78.716957,59.88489,0.00000275,0.00002196,-0.00001756,4.07067391369611,0.547320127754499,-0.0000000951204441,-0.000000043342343,254.683025258504,The,4.148,4.128
75987,76219,138716,5777,,37    Lib,,15.569638,-10.064529,28.9268,305.62,-234.12,48,4.61,2.303,1,-16.923971,-22.908696,-5.055242,0.00000916,-0.00005973,-0.0000409,4.07612177876624,-0.175659161650645,0.0000014816875705,-0.000001135045788,10.4423921854317,,,
76035,76267,139006,5793,,5Alp CrB,Alphecca,15.578128,26.714693,23.0097,120.38,-89.44,2,2.22,0.41,0.032,-12.176093,-16.558746,10.343974,0.00000708,-0.00001304,-0.00000799,4.0783442886637,0.466259350848144,0.0000005836187087,-0.000000433617355,59.7035286583837,Alp,2.289,2.209
76044,76276,138917,5788,,13Del Ser,,15.580041,10.538867,69.9301,-72.63,3.17,-38,3.8,-0.423,0.268,-40.700384,-55.408101,12.790326,0.00000289,0.00004553,-0.00000605,4.07884520894846,0.183937925475189,-0.0000003521201762,0.000000015368593,128.58786926344,Del,3.823,3.783
76065,76297,138690,5776,,Gam Lup,,15.585681,-41.166757,129.0323,-16.05,-25.52,2,2.8,-2.753,-0.216,-57.388809,-78.369378,-84.935884,-0.0000028,0.00001317,-0.00001336,4.08032169413979,-0.718495450588946,-0.0000000778125957,-0.000000123724451,1099.51206687935,,,
76100,76333,138905,5787,GJ 3912,38Gam Lib,Zubenelhakrabi,15.592105,-14.789537,50.025,65.67,6.93,-28.2,3.91,0.414,1.007,-28.510476,-39.071229,-12.769777,0.00002905,0.00001279,0.00000899,4.08200351280001,-0.258126111021105,0.000000318377144,0.000000033597588,59.4839774069221,,,
76137,76371,138769,5781,,,,15.598126,-44.958389,131.2336,-20.42,-21.48,7,4.55,-1.04,-0.175,-54.620726,-75.101405,-92.728795,-0.00000781,0.00001135,-0.00001473,4.08357979375916,-0.784671914207308,-0.0000000989989536,-0.000000104137978,226.986485188382,,,
76206,76440,138538,5771,,Eps TrA,,15.612,-66.317037,61.8429,24.51,-54.66,-16,4.11,0.154,1.161,-14.537768,-20.142359,-56.634489,0.00001859,0.0000132,0.0000084,4.08721212374354,-1.15745065374262,0.0000001188278331,-0.000000264999157,75.5788013680452,,,
